date,PO%,away_team_runs,woba_denom,WAR,Swing% (sc),SH,Str,incorrect_calls,home_runs,Pulls,IFH%,balls,CTv,FA% (sc),FS% (pi),wFA (sc),SC-Z (sc),SI-X (pi),# 60-90%,StS,Contact%,H/9+,BIP-Wins,ShO,at_bat_number,wFA (pi),OPS,LA,Pull%,Loc+ CU,# 0%,average_distance,hit_distance_sc,Pit+ FC,Off,Pace,L,CH-Z (sc),FC-X (pi),AVG,bat_score,rank,PB,60-90%,ay,FA-Z (pi),wCH,F-Strike%,TE,vFS (sc),2B,rTS,vSL (pi),wKC (sc),maxEV,CH-X (pi),40-60%,GB%,SF,XX% (pi),botOvr CH,PA,K/BB,botStf FS,RngR,az,SC% (sc),O-Contact% (sc),Pit+ FS,woba_value,CU-X (sc),Loc+ SI,launch_angle,vFT (sc),inLI,wCU/C (sc),HBP,vFA (pi),SL% (pi),correct_calls_above_expected,delta_home_win_exp,O-Contact% (pi),FP,O-Contact%,E,release_speed,inning_topbot,post_away_score,botOvr KC,wSL/C (sc),release_spin_rate,K%,EP-X (sc),Zone% (pi),wGDP,botCmd CU,G,Loc+ FS,Cent%+,CS-Z (pi),UZR/150,SL% (sc),plate_z,ISO+,max_distance,year,SB-Z (pi),home_team,K/9+,spin_rate_deprecated,RS/9,SB-X (pi),release_pos_z,Cent%,release_extension,BABIP,FO-X (sc),vCS (pi),1-10%,description,accuracy_above_expected,BB%,FBv,BF,Loc+ FA,SFv,FIP,botCmd KC,LOB%,average_homerun,rCERA,FA-X (pi),wFS/C (sc),botCmd SL,Z-Contact%,rGDP,fielder_2,SLG+,Swing%,wCU (pi),UZR,batted_ball_events,id,expected_incorrect_calls,wFC (pi),GS,Dollars,Spd,HR/FB,kwERA,FE,botOvr FS,SO,FA-X (sc),Stf+ CU,SB% (pi),pitcher.1,player_name,wKC/C (sc),StL,fly_ball_line_drive_ev,vFS (pi),wSL (sc),Pit+ SI,Lg,CB%,wFB/C,H,wKN (pi),xERA,A,break_length_deprecated,Stf+ FA,Starting,Dol,FB,O-Swing% (sc),type,iso_value,wSI (sc),xFIP,Z-Swing%,swing_length,LD%+,CU-Z (pi),O-Swing% (pi),estimated_ba_using_speedangle,CG,FDP-Wins,Clutch,Team,FIP-,Pos,FSR,des,10-40%,wCH/C,FT-X (sc),IBB,botOvr,K/BB+,vCH (pi),wCT/C,xSLG,ARM,plate_x,FO-Z (sc),botStf FC,RBI,release_pos_y,#days,AVG+,IDfg,ballpark,SLv,pitches_called,FS-Z (sc),Scp,W,wRC+,CH-Z (pi),FS-X (pi),rSB,wKN/C (sc),Stf+ FS,wFS/C (pi),KN-X (pi),launch_speed_angle,Contact% (pi),Pit+ KC,FC% (sc),post_fld_score,Stf+ SI,post_bat_score,bat_speed,SO/W,Barrel%,wSI/C (pi),tfs_deprecated,pfx_x,phLI,vCU (sc),AB,RAR,# 10-40%,Med%+,Barrels,wCS (pi),hard_hit_95mph+,OBP,GDP,BB,on_1b,LOB-Wins,correct_calls,strikes,Pit+ FA,KC-X (sc),post_home_score,vFA (sc),vSC (sc),wSL,target,exLI,FA% (pi),vKC (sc),wCH/C (pi),BUH%,LD%,ISO,SO9,EV,WHIP+,launch_speed,Stf+ FO,Stf+ KC,wSF/C,botStf KC,game_year,FB% 2,FRM,wSC/C (sc),CH% (pi),rPM,SL%,OAA,wSI (pi),XX-Z (pi),estimated_woba_using_speedangle,DPF,SI-Z (pi),CU% (sc),botOvr SI,TZ,xwOBA,Bat,on_2b,IFH,vFC (pi),SF%,away_team,total_run_impact,botxRV100,FT-Z (sc),Soft%+,zone,MD,Pit+ CU,SL-X (sc),ER,SL-Z (pi),BA,FB%,Age Rng,botStf FA,barrels_batted_balls_percentage,DRS,KC% (sc),Z-Swing% (sc),WPA,FA-Z (sc),Hard%,batter,pitch_type,away_score,SI-X (sc),+WPA,wSC (sc),average_ev,RA9-WAR,KC-Z (sc),home_score,Pit+ FO,SC-X (sc),vy0,feature2,Swing% (pi),player,release_pos_x,SL-X (pi),wCB,GB/FB,wCH (pi),vSI (sc),Age,game_type,Stf+ FC,wFC/C (sc),BB/9,Balls,pitch_name,fielder_7,-WPA,expected_correct_calls,Med%,KNv,K%+,botCmd FC,vFC (sc),UN% (sc),GB,3B,CSW%,1B,SwStr%,wFT/C (sc),on_3b,wFC/C (pi),FB% (Pitch),wOBA,wSF,botStf SI,fielder_6,Loc+ FO,accuracy,ErrR,total_barrels,BUH,wCH (sc),wSB/C (pi),wCB/C,BAbip,wSB,HR/9,90-100%,botOvr FC,Rep,botCmd,Pitching+,botStf CU,vFO (sc),sz_top,fielder_2.1,expected_homers,BU,R,air_density_index,Zone% (sc),CH-X (sc),strikeouts,WP,SB,Stf+ CH,wCT,gmLI,vx0,rARM,outs_when_up,E-F,vKN (sc),fielder_9,vSI (pi),sv_id,CS-X (pi),babip_value,wCS/C (pi),Loc+ KC,Zone%,DPS,L-WAR,Tm,BIZ,barrels_plate_appearance_percentage,vz0,wEP (sc),FC-Z (pi),OBP+,fielder_5,FC-Z (sc),SV,Z-Contact% (sc),Stf+ SL,wRC,inning,botCmd FS,Lev,PU,Pit+ CH,Hard%+,GB%+,SL-Z (sc),wSI/C (sc),spin_dir,OOZ,BB%+,TTO%,Def,HR,effective_speed,fielder_4,CStr%,wFT (sc),# 1-10%,wFC (sc),BB/9+,Pit+ SL,Pace (pi),mlbID,BK,sz_bot,DP,RZR,# 90-100%,Soft%,botERA,TZL,FB%+,Oppo%,EP% (sc),break_angle_deprecated,vKN (pi),umpire,Stuff+,vSB (pi),0%,away,wFS (pi),FC% (pi),Location+,FO% (sc),PH,tERA,BABIP+,CU-X (pi),KN-Z (sc),of_fielding_alignment,Z-Contact% (pi),pLI,LOB%+,actual_homers,K/9,KN%,wKN,botCmd CH,BS,botCmd SI,CS% (pi),Pitches,expected_accuracy,TBF,KN-Z (pi),wCH/C (sc),xBA,XX%,CBv,LD+%,favor_home,HR/9+,Loc+ CH,HR/FB%+,Range,pitcher,CPP,RS,delta_run_exp,DPR,Inn,altitude,Events,SI% (pi),wFA/C (pi),SIERA,game_pk,vXX (pi),Fld,REW,WPA/LI,Loc+ FC,rGFP,fld_score,hit_location,Start-IP,SI% (sc),home_team_runs,wKN/C,IFFB%,SLG,CU-Z (sc),FS-Z (pi),wXX (pi),ERA-,HLD,hard_hit_percentage,botStf CH,botStf SL,if_fielding_alignment,game_date,IP,UBR,Name,ground_ball_ev,wFB,CH%,wXX/C (pi),FS% (sc),Pull%+,FT% (sc),wSL/C,wCU/C (pi),hc_x,CS,botOvr FA,wKN (sc),wSL/C (pi),SI-Z (sc),Oppo%+,botOvr SL,consistency,xFIP-,DPT,pitch_number,CH% (sc),events,stand,FC-X (sc),RPP,CHv,LD,KN% (sc),HardHit,feature1,Z-Swing% (pi),wFA/C (sc),Pit,# 40-60%,hc_y,CU% (pi),bb_type,RE24,H/9,BsR,wFS (sc),Relief-IP,tfs_zulu_deprecated,BB/K,wFO (sc),wCU (sc),WHIP,HardHit%,vCH (sc),wSB (pi),vCU (pi),wRAA,KN-X (sc),wSL (pi),fielder_8,Season,FS-X (sc),wEP/C (sc),home,PO,pfx_z,IFFB,vEP (sc),rSZ,botCmd FA,botOvr CU,botStf,spin_axis,Contact% (sc),Relieving,max_ev,SD,XX-X (pi),p_throws,Strikes,wKN/C (pi),vSL (sc),ax,wFO/C (sc),CT%,ERA,fielder_3,KN% (pi),O-Swing%,K-BB%,sweet_spot_percentage,EP-Z (sc),hard_hit_swing_percentage,Loc+ SL,Plays
,,,,,,,0.59,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,127,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,39,,,,,,,0.19,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,237,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.95,,,,,,,104,,,,,,,,2,20,,,,,,,,,,,,,,,,,,,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,23,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.239,,,,,,,,,,,,,,8,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.04,,,,,,,,,,,0,,,,,,,,,,682842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.22,,,,,,518,,,,,,,,,,,,,,1.174,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,,,
,,,,,,,0.64,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,12,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,45,,,,,,,0.13,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,238,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.8,,,,,,,247,,,,,,,,3,25,,,,,,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,28,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.281,,,,,,,,,,,,,,37,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.12,,,,,,,,,,,11,,,,,,,,,,664353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.24,,,,,,1094,,,,,,,,,,,,,,1.429,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.29,,,,,,,,,
,,,,,,,0.64,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,37,,,,,,,,8,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,808,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,200,,,,,,,0.17,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,240,,,,,,,,12.0,,,,,,,,,,,,,,,,,3.51,,,,,,,728,,,,,,,,22,57,,,,,,,,,,,,,,,,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,,,29,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0.284,,,,,,,,,,,,,,86,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.02,,,,,,,,,,,19,,,,,,,,,,664285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.24,,,,,,2953,,,,,,,,,,,,,,1.126,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3.45,,,,,,,,,
,,,,,,,0.55,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,0.09,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,326,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.31,,,,,,,2,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,26,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,0,,,,,,,,,,681808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0,,,,,,11,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,,,,,,,0.6,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,7,,,,,,,0.2,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,409,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.75,,,,,,,17,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,23,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,,,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,2,,,,,,,,,,672841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.2,,,,,,81,,,,,,,,,,,,,,1.929,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,5.79,,,,,,,,,
,,,,,,,0.54,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,0,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,0.14,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,279,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.0,,,,,,,8,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,31,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.143,,,,,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,1,,,,,,,,,,545121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.0,,,,,,28,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,
,,,,,,,0.63,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,6,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,20,,,,,,,0.18,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,258,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.25,,,,,,,85,,,,,,,,3,16,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,26,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.387,,,,,,,,,,,,,,18,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.03,,,,,,,,,,,3,,,,,,,,,,681402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.3,,,,,,403,,,,,,,,,,,,,,2.115,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,6.64,,,,,,,,,
,,,,,,,0.69,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,71,,,,,,,0.15,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,239,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.18,,,,,,,262,,,,,,,,3,17,,,,,,,,,,,,,,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,25,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,0.284,,,,,,,,,,,,,,35,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.04,,,,,,,,,,,16,,,,,,,,,,686973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.2,,,,,,1091,,,,,,,,,,,,,,1.221,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,4.63,,,,,,,,,
,,,,,,,0.66,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,43,,,,,,,0.23,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,237,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.87,,,,,,,186,,,,,,,,3,23,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,,,29,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,21,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.06,,,,,,,,,,,4,,,,,,,,,,607755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,0.23,,,,,,853,,,,,,,,,,,,,,1.428,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.35,,,,,,,,,
,,,,,,,0.64,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,33,,,,,,,0.18,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,238,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.83,,,,,,,142,,,,,,,,0,18,,,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,24,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.238,,,,,,,,,,,,,,12,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.08,,,,,,,,,,,5,,,,,,,,,,681190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.28,,,,,,669,,,,,,,,,,,,,,1.274,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,,,
,,,,,,,0.64,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,9,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,37,,,,,,,0.17,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,363,,,,,,,,4.0,,,,,,,,,,,,,,,,,2.64,,,,,,,146,,,,,,,,2,14,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,31,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.295,,,,,,,,,,,,,,16,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.09,,,,,,,,,,,4,,,,,,,,,,592826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.27,,,,,,650,,,,,,,,,,,,,,1.313,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,,,,
,,,,,,,0.58,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,0.11,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,239,,,,,,,,3.0,,,,,,,,,,,,,,,,,0.5,,,,,,,10,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,25,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0.222,,,,,,,,,,,,,,2,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.11,,,,,,,,,,,0,,,,,,,,,,685107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.22,,,,,,55,,,,,,,,,,,,,,1.714,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,
,,,,,,,0.63,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,12,,,,,,,,3,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,60,,,,,,,0.16,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,237,,,,,,,,5.0,,,,,,,,,,,,,,,,,2.31,,,,,,,230,,,,,,,,5,26,,,,,,,,,,,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,32,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.262,,,,,,,,,,,,,,30,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.07,,,,,,,,,,,9,,,,,,,,,,572403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0.2,,,,,,1044,,,,,,,,,,,,,,1.279,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,3.98,,,,,,,,,
,,,,,,,0.66,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,30,,,,,,,,4,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,669,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,144,,,,,,,0.16,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,237,,,,,,,,13.0,,,,,,,,,,,,,,,,,3.2,,,,,,,615,,,,,,,,8,45,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,40,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0.265,,,,,,,,,,,,,,63,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,0.12,,,,,,,,,,,18,,,,,,,,,,434378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,0.23,,,,,,2603,,,,,,,,,,,,,,1.134,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3.22,,,,,,,,,
